genre,rel_sub,rel_inf,rel_fus
frapcore,,gabber,
frapcore,,hip hop,
frat rock,,r&b,
frat rock,,rock and roll,
freakbeat,,beat music,
freakbeat,,british rhythm & blues,
freakbeat,,pop rock,
freakbeat,,psychedelic,
free folk,,american primitive guitar,
free folk,,drone,
free folk,,free improvisation,
free funk,,free jazz,
free funk,,funk,
free improvisation,eai,,
free improvisation,,free jazz,
free improvisation,,modern classical,
freeform hardcore,,hard trance,
freeform hardcore,,dutch trancecore,
freestyle,,dance-pop,
freestyle,,disco,
freestyle,,electro,
freestyle,,hip hop,
french electro,,electroclash,
french house,,disco,
french house,,funk,
frevo,,marchinha,
frevo,,maxixe,
frevo,frevo de rua,,
frevo,frevo de bloco,,
frevo,frevo-canção,,
frevo,frevo elétrico,,
frevo de bloco,,marchinha,
fuji,,,
full-on,night full-on,,
funaná,,,
funeral doom metal,,death-doom metal,
fungi,,,
funk,afro-funk,,
funk,brit funk,,
funk,deep funk,,
funk,electro-funk,,
funk,,jazz,
funk,,r&b,
funk,,soul,
funk,go-go,,
funk,latin funk,,
funk,porn groove,,
funk,p-funk,,
funk,synth funk,,
funk automotivo,,house,
funk brasileiro,arrocha funk,,
funk brasileiro,funk proibidão,,
funk brasileiro,funk ostentação,,
funk brasileiro,funk melody,,
funk brasileiro,funk mandelão,,
funk brasileiro,,electro,
funk brasileiro,,hip hop,
funk brasileiro,,miami bass,
funk brasileiro,rasteirinha,,
funk brasileiro,tamborzão,,
funk brasileiro,funk de bh,,
funk brasileiro,mega funk,,
funk brasileiro,funk carioca,,
funk brasileiro,eletrofunk,,
funk brasileiro,beat bolha,,
funk brasileiro,beat fino,,
funk brasileiro,trapfunk,,
funk brasileiro,funk consciente,,
funk carioca,,miami bass,
funk mandelão,beat bruxaria,,
funk mandelão,,edm,
funk mandelão,funk automotivo,,
funk mandelão,brazilian phonk,,
funk mandelão,ritmada,,
funk melody,,contemporary r&b,
funk melody,,dance-pop,
funk melody,,freestyle,
funk melody,,funk carioca,
funk metal,,,funk rock
funk metal,,,metal
funk ostentação,,pop rap,
funk proibidão,,funk carioca,
funk rock,,,funk
funk rock,,,rock
funknejo,,funk brasileiro,
funkot,,eurodance,
funkot,,koplo,
funkot,,trance,
funktronica,,italo-disco,
funktronica,,synth funk,
funky breaks,,big beat,
funky breaks,,funk,
funky breaks,,soul,
funky house,,funk,
fusion gugak,,,
future bass,future core,,
future bass,kawaii future bass,,
future bass,,trap edm,
future bass,,wonky,
future bounce,,,future house
future bounce,,,melbourne bounce
future core,,j-core,
future core,,kawaii future bass,
future funk,,vaporwave,
future garage,,2-step,
future house,,electro house,
future house,,garage house,
future house,,uk garage,
future rave,,melodic techno,
future rave,,peak time techno,
future rave,,tech house,
future riddim,,future bass,
future riddim,,melodic dubstep,
futurepop,,ebm,
futurepop,,synth-pop,
g-funk,,p-funk,
g-house,,hip hop,
gaana,,,
gabber,,acid house,
gabber,,new beat,
gabber,nu style gabber,,
gabber,dutch trancecore,,
gaelic psalm singing,,,
gaita zuliana,,,
gambang kromong,,gamelan,
gamelan,balinese gamelan,,
gamelan,javanese gamelan,,
gamelan,gamelan degung,,
gamelan,malay gamelan,,
gangsta rap,scam rap,,
gangsta rap,mafioso rap,,
gangsta rap,coke rap,,
garage house,,disco,
garage house,gospel house,,
garage psych,,psychedelic rock,
garage punk,,,garage rock
garage punk,,,punk rock
garage punk,budget rock,,
garage rock,garage rock revival,,
garage rock,frat rock,,
garage rock,garage psych,,
garage rock revival,,alternative rock,
garage rock revival,,indie rock,
garage rock revival,,post-punk,
garba,,,
geek rock,,new wave,
geek rock,,pop rock,
geek rock,,power pop,
genge,,dancehall,
genge,gengetone,,
gengetone,,reggaeton,
ghetto funk,,funk,
ghetto funk,,hip hop,
ghetto funk,,soul,
ghetto house,juke,,
ghettotech,,detroit techno,
ghettotech,,electro,
ghettotech,,ghetto house,
ghettotech,,miami bass,
ginan,,,
glam,,,
glam metal,,glam rock,
glam metal,sleaze rock,,
glam punk,,,glam rock
glam punk,,,proto-punk
glam rock,,pop rock,
glam rock,,rock and roll,
glitch hop,,,hip hop
glitch hop,,,idm
glitch hop edm,,brostep,
glitch hop edm,,electro house,
glitch hop edm,,glitch hop,
glitch hop edm,neurohop,,
glitch hop edm,ghetto funk,,
glitch pop,,glitch,
glitch pop,,idm,
glitch pop,,pop,
gnawa,,,
go-go,bounce beat,,
goa trance,nitzhonot,,
gommance,,afro trap,
gommance,,reggaeton,
gondang,,,
goombay,,,
goregrind,gorenoise,,
goregrind,,death metal,
goregrind,pornogrind,,
gorenoise,,noise,
gospel,contemporary gospel,,
gospel,sacred steel,,
gospel,,spirituals,
gospel,southern gospel,,
gospel,traditional black gospel,,
gospel,urban contemporary gospel,,
gospel,praise break,,
gospel house,,gospel,
gospel house,,spirituals,
gothic,,,
gothic metal,,gothic rock,
gothic rock,,post-punk,
gqom,,kwaito,
grebo,,alternative dance,
grebo,,hip hop,
grebo,,punk rock,
gregorian chant,sarum chant,,
grime,,2-step,
grime,,drum and bass,
grime,,hip hop,
grime,,jungle,
grime,weightless,,
grindcore,cybergrind,,
grindcore,,,hardcore punk
grindcore,,,metal
grindcore,goregrind,,
grindcore,mincecore,,
grindcore,,thrashcore,
grindcore,noisegrind,,
griot,,,
groove metal,,thrash metal,
group sounds,,eleki,
gstanzl,,,
guajira,,punto,
guangdong yinyue,,cantonese opera,
guangdong yinyue,,quyi,
guaracha,,jácara,
guaracha edm,,cumbia,
guaracha santiagueña,,,chacarera
guaracha santiagueña,,,chamamé
guaracha santiagueña,,cuarteto,
guaracha santiagueña,,cumbia,
guayla,,,
gufeng,,zhongguo feng,
gumbe,,,
gypsy jazz,,folk,
gypsy punk,,folk,
gypsy punk,,klezmer,
għana,,,
halftime,,dubstep,
halftime,,neurofunk,
halftime,,wonky,
hambo,,,
hamburger schule,,neue deutsche welle,
hamburger schule,,pop,
hamburger schule,,punk rock,
hands up,,euro-trance,
hands up,,eurodance,
hands up,buchiage trance,,
hanmai,,,
hapa haole,,jazz,
hapa haole,,traditional pop,
happy hardcore,bouncy techno,,
happy hardcore,uk hardcore,,
harana,,habanera,
harana,,mariachi,
harawi,,,
hard beat,,ebm,
hard beat,,industrial,
hard bop,,bebop,
hard bop,,gospel,
hard bop,,r&b,
hard drum,,tribal house,
hard drum,,uk funky,
hard house,hardbass,,
hard house,donk,,
hard house,,acid house,
hard house,,bouncy techno,
hard house,,breakbeat hardcore,
hard house,,hardbag,
hard house,,hi-nrg,
hard nrg,,hard house,
hard nrg,,hi-nrg,
hard nrg,,trance,
hard renaissance,,artcore,
hard renaissance,,western classical,
hard rock,glam metal,,
hard rock,,acid rock,
hard rock,,blues rock,
hard rock,stoner rock,,
hard rock,rock kapak,,
hard techno,,acid techno,
hard trance,,acid trance,
hard trap,,hardstyle,
hardbag,,euro house,
hardcore breaks,,drum and bass,
hardcore breaks,,dubstep,
hardcore breaks,,footwork,
hardcore hip hop,britcore,,
hardcore hip hop,memphis rap,,
hardcore hip hop,chopper,,
hardcore punk,burning spirits,,
hardcore punk,beatdown hardcore,,
hardcore punk,crust punk,,
hardcore punk,d-beat,,
hardcore punk,melodic hardcore,,
hardcore punk,noisecore,,
hardcore punk,powerviolence,,
hardcore punk,sasscore,,
hardcore punk,street punk,,
hardcore punk,thrashcore,,
hardcore punk,uk82,,
hardcore punk,christian hardcore,,
hardcore punk,tough guy hardcore,,
hardcore techno,belgian techno,,
hardcore techno,doomcore,,
hardcore techno,frenchcore,,
hardcore techno,freeform hardcore,,
hardcore techno,gabber,,
hardcore techno,happy hardcore,,
hardcore techno,,techno,
hardcore techno,industrial hardcore,,
hardcore techno,j-core,,
hardcore techno,speedcore,,
hardcore techno,terrorcore,,
hardcore techno,uptempo hardcore,,
hardcore techno,acidcore,,
hardcore techno,modern hardtek,,
hardcore techno,powerstomp,,
hardcore techno,hyper techno,,
hardcore techno,deathchant hardcore,,
hardcore techno,darkcore edm,,
hardcore techno,amigacore,,
hardcore techno,,hard beat,
hardcore techno,frapcore,,
hardgroove techno,,tech house,
hardstyle,,gabber,
hardstyle,,hard trance,
hardstyle,,hardcore techno,
hardstyle,euphoric hardstyle,,
hardstyle,rawstyle,,
hardstyle,psystyle,,
hardstyle,dubstyle,,
hardstyle,nustyle,,
hardstyle,early hardstyle,,
hardtekk,,hard techno,
hardtekk,,hardstyle,
hardvapour,,hardcore techno,
hardvapour,,idm,
hardvapour,,techno,
hardwave,,hardstyle,
hardwave,,trance,
hardwave,,trap edm,
harsh noise,harsh noise wall,,
harsh noise,cut-up noise,,
harsh noise wall,ambient noise wall,,
hauntology,,ambient,
heartland rock,,contemporary folk,
heartland rock,,country rock,
heartland rock,,pop rock,
heartland rock,,singer-songwriter,
heaven trap,,festival progressive house,
heaven trap,,melodic dubstep,
heavy metal,,hard rock,
heavy metal,nwobhm,,
heavy metal,speed metal,,
heavy metal,us power metal,,
heavy psych,,blues rock,
heavy psych,,hard rock,
hexd,,cloud rap,
hexd,,edm,
hexd,,trap,
hexd,,vaporwave,
hi-tech,,full-on,
hi-tech full-on,,complextro,
hi-tech full-on,,full-on,
highlife,burger-highlife,,
himene tarava,,,
hindustani classical,dhrupad,,
hindustani classical,khyal,,
hindustani classical,thumri,,
hindustani classical,natya sangeet,,
hindustani classical,abhang,,
hindustani classical,tappa,,
hindustani classical,tarana,,
hindustani classical,klasik,,
hip hop,arabesk rap,,
hip hop,alternative hip hop,,
hip hop,afroswing,,
hip hop,afro trap,,
hip hop,abstract hip hop,,
hip hop,bounce,,
hip hop,boom bap,,
hip hop,bongo flava,,
hip hop,battle rap,,
hip hop,crunk,,
hip hop,conscious hip hop,,
hip hop,comedy hip hop,,
hip hop,cloud rap,,
hip hop,christian hip hop,,
hip hop,chopped and screwed,,
hip hop,chipmunk soul,,
hip hop,chicano rap,,
hip hop,drumless hip hop,,
hip hop,digicore,,
hip hop,experimental hip hop,,
hip hop,east coast hip hop,,
hip hop,genge,,
hip hop,gangsta rap,,
hip hop,g-funk,,
hip hop,hardcore hip hop,,
hip hop,,disco,
hip hop,,funk,
hip hop,,reggae,
hip hop,hiplife,,
hip hop,horrorcore,,
hip hop,hyphy,,
hip hop,instrumental hip hop,,
hip hop,jerk rap,,
hip hop,jazz rap,,
hip hop,mobb music,,
hip hop,miami bass,,
hip hop,nerdcore,,
hip hop,old school hip hop,,
hip hop,punk rap,,
hip hop,pop rap,,
hip hop,political hip hop,,
hip hop,phonk,,
hip hop,southern hip hop,,
hip hop,snap,,
hip hop,trap,,
hip hop,turntablism,,
hip hop,west coast hip hop,,
hip hop,underground hip hop,,
hip hop,hipco,,
hip hop,lowend,,
hip hop,ratchet music,,
hip hop,jersey club rap,,
hip hop,jerk,,
hip hop,philly club rap,,
hip hop,stoner rap,,
hip hop,houston sound,,
hip hop,samba rap,,
hip hop soul,,hip hop,
hip hop soul,,new jack swing,
hip house,,hip hop,
hiplife,,highlife,
holy minimalism,,church music,
hopepunk,,,
hornpipe,,,
house,ambient house,,
house,amapiano,,
house,acid house,,
house,big room house,,
house,bass house,,
house,balearic beat,,
house,diva house,,
house,deep house,,
house,euro house,,
house,electro house,,
house,future house,,
house,future funk,,
house,funky house,,
house,french house,,
house,gqom,,
house,ghetto house,,
house,garage house,,
house,hard house,,
house,hip house,,
house,,disco,
house,italo house,,
house,kwaito,,
house,microhouse,,
house,outsider house,,
house,progressive house,,
house,tech house,,
house,tribal house,,
house,tropical house,,
house,speed house,,
house,vocal house,,
house,festival progressive house,,
house,vinahouse,,
house,latin house,,
house,g-house,,
house,jersey sound,,
house,brazilian bass,,
house,slap house,,
house,future bounce,,
house,chicago house,,
house,ballroom house,,
house,afro house,,
house,organic house,,
house,changa tuki,,
house,melodic house,,
house,uk jackin,,
house,jackin house,,
house,phonk house,,
house,stutter house,,
house,jazz house,,
houston sound,,chopped and screwed,
huapango,,,
huaylarsh,,,
huayno,chimayche,,
huayno,chuscada,,
huayno,huayno con arpa,,
huayno con arpa,,chicha,
humppa,,jazz,
hungarian folk,csárdás,,
hungarian folk,nóta,,
hungarian folk,pásztordal,,
hybrid trap,,brostep,
hyper techno,,belgian techno,
hyperpop,,bubblegum bass,
hyperpop,,dance-pop,
hyperpop,,electropop,
hypnagogic pop,,neo-psychedelia,
hypnagogic pop,,new age,
hypnagogic pop,,synth-pop,
hát tuồng,,chinese opera,
idm,drill and bass,,
idol kayō,,pop,
idol kayō,,pop rock,
idol kayō,,vocal jazz,
illbient,,ambient,
illbient,,dub,
illbient,,hip hop,
indian classical,carnatic classical,,
indian classical,hindustani classical,,
indian classical,odissi classical,,
indian pop,bhojpuri pop,,
indie folk,,indie rock,
indie pop,bedroom pop,,
indie pop,c86,,
indie pop,chamber pop,,
indie pop,donosti sound,,
indie pop,twee pop,,
indie pop,tontipop,,
indie rock,dunedin sound,,
indie rock,hamburger schule,,
indie rock,,pop,
indie rock,indie surf,,
indie rock,noise pop,,
indie rock,slacker rock,,
indie rock,slowcore,,
indie surf,,surf rock,
indietronica,chillwave,,
indietronica,glitch pop,,
indietronica,,indie pop,
indo jazz,,indian classical,
industrial,death industrial,,
industrial,electro-industrial,,
industrial,,krautrock,
industrial,,musique concrète,
industrial,,noise,
industrial,post-industrial,,
industrial hardcore,,gabber,
industrial hardcore,,industrial,
industrial hardcore,,power noise,
industrial hip hop,,industrial,
industrial metal,cyber metal,,
industrial metal,,,industrial
industrial metal,,,metal
industrial rock,,,industrial
industrial rock,,,rock
industrial rock,machine rock,,
industrial techno,,industrial,
industrial techno,birmingham sound,,
instrumental,,,
instrumental hip hop,lo-fi hip hop,,
irish folk,sean-nós,,
isicathamiya,,mbube,
islamic modal music,mugham,,
islamic modal music,sawt,,
islamic modal music,iraqi maqam,,
islamic modal music,turkish classical,,
islamic modal music,uyghur muqam,,
italo house,,italo-disco,
izlan,,,
izvorna bosanska muzika,,,
j-core,hard renaissance,,
j-pop,akishibu-kei,,
j-pop,,city pop,
j-pop,,idol kayō,
j-pop,wa euro,,
j-rock,yakousei,,
jackin house,,edm,
jackin house,,funky house,
jaipongan,,gamelan,
jam band,livetronica,,
james bay fiddling,,celtic,
jamgrass,,jam band,
jangle pop,,folk rock,
jangle pop,,power pop,
japanese classical,gagaku,,
japanese classical,heikyoku,,
japanese classical,honkyoku,,
japanese classical,jiuta,,
japanese classical,jōruri,,
japanese classical,meiji shinkyoku,,
japanese classical,nagauta,,
japanese classical,noh,,
japanese classical,shōmyō,,
japanese classical,sōkyoku,,
javanese gamelan,gamelan sekaten,,
javanese gamelan,gamelan salendro,,
javanese gamelan,gamelan siteran,,
javanese gamelan,gamelan surakarta,,
jazz,avant-garde jazz,,
jazz,afro-jazz,,
jazz,big band,,
jazz,bebop,,
jazz,cape jazz,,
jazz,crossover jazz,,
jazz,crime jazz,,
jazz,cool jazz,,
jazz,contemporary jazz,,
jazz,classic jazz,,
jazz,dark jazz,,
jazz,dixieland,,
jazz,ethio-jazz,,
jazz,free jazz,,
jazz,gypsy jazz,,
jazz,hard bop,,
jazz,instrumental jazz,,
jazz,jazz-funk,,
jazz,jazz fusion,,
jazz,,blues,
jazz,,ragtime,
jazz,latin jazz,,
jazz,modal jazz,,
jazz,marabi,,
jazz,orchestral jazz,,
jazz,post-bop,,
jazz,swing,,
jazz,stride,,
jazz,soul jazz,,
jazz,smooth jazz,,
jazz,vocal jazz,,
jazz,modern creative,,
jazz,indo jazz,,
jazz,spiritual jazz,,
jazz,kréyol djaz,,
jazz,sweet jazz,,
jazz,neo-bop,,
jazz,paramaribop,,
jazz blues,,,blues
jazz blues,,,jazz
jazz guachaca,,bolero,
jazz guachaca,,corrido,
jazz guachaca,,cueca,
jazz guachaca,,jazz,
jazz guachaca,,tango,
jazz house,,jazz,
jazz mugham,,mugham,
jazz poetry,,jazz,
jazz pop,,jazz,
jazz rap,,jazz,
jazz rock,,jazz,
jazz-funk,,funk,
jazz-funk,free funk,,
jazzstep,,jazz,
jerk,,jerk rap,
jerk,,lowend,
jerk,,plugg,
jerk rap,,hyphy,
jersey club,,baltimore club,
jersey club,,breakbeat,
jersey club rap,,jersey club,
jersey drill,,jersey club,
jersey sound,,gospel,
jesus music,,contemporary folk,
jesus music,,folk rock,
jesus music,,psychedelic,
jhumar,,,
jibonmukhi gaan,,contemporary folk,
jibonmukhi gaan,,singer-songwriter,
jit,,,
joik,,,
jongo,,,
jota,,,
jubilee,,spirituals,
jungle,ragga jungle,,
jungle,,jungle techno,
jungle dutch,,dutch house,
jungle dutch,,jersey club,
jungle dutch,,jungle terror,
jungle techno,,techno,
jungle terror,,big room house,
jungle terror,,tribal house,
junkanoo,,,
jùjú,,,
k-pop,,contemporary r&b,
k-pop,,dance-pop,
k-pop,,hip hop,
kabarett,,,
kacapi suling,,tembang cianjuran,
kafi,,,
kagura,,,
kalattut,,,
kalindula,,,
kalon'ny fahiny,,operetta,
kan ha diskan,,,
kaneka,,reggae,
kantan chamorrita,,,
kanto,,,
kantruem,,,
kapuka,,hip hop,
kapuka,,reggae,
kasékò,,,
kawaii future bass,,chiptune,
kawaii metal,,j-pop,
kayōkyoku,idol kayō,,
kayōkyoku,mood kayō,,
kayōkyoku,techno kayō,,
kayōkyoku,,ryūkōka,
kecak,,,
keller synth,,black metal,
keroncong,langgam jawa,,
kete,,,
ketuk tilu,,,
kidandali,,kadongo kamu,
kidandali,,ragga,
kidandali,,soukous,
kidumbak,,taarab,
kirtan,shabad kirtan,,
kizomba,,semba,
kizomba,,zouk,
kizomba,tarraxinha,,
klapa,,,
kleinkunst,,chanson française,
kliningan,,gamelan,
koplo,,pop,
koplo,,reggae,
koplo,,rock,
korean ballad,oriental ballad,,
korean ballad,,blues,
korean ballad,,soul,
korean ballad,,trot,
korean classical,aak,,
korean classical,dangak,,
korean classical,gagok,,
korean classical,hyangak,,
korean classical,jeongak,,
korean revolutionary opera,,chinese revolutionary opera,
kouta,,,
krakowiak,,,
krautrock,,psychedelic rock,
krushclub,,edm,
krushclub,,hexd,
kréyol djaz,,bélé,
kréyol djaz,,biguine,
kréyol djaz,,gwo ka,
kuda lumping,,gamelan,
kuda lumping,,jaipongan,
kuduro,batida,,
kuduro,,house,
kuduro,,kilapanga,
kuduro,,semba,
kuduro,,techno,
kujawiak,,,
kumi-daiko,,,
kwaito,,disco,
kwaito,,hip hop,
kwaito,bacardi,,
kwela,,jazz,
kwela,,marabi,
kyivan chant,,znamenny chant,
könsrock,,post-punk,
laiko,skiladiko,,
laiko,modern laiko,,
lambada,,carimbó,
lambada,,cumbia,
lambada,,forró,
lambada,guitarrada,,
langgam jawa,,javanese gamelan,
latin,boogaloo,,
latin,bachata,,
latin,rhumba,,
latin ballad,,bolero,
latin disco,,latin,
latin funk,,latin,
latin jazz,afro-cuban jazz,,
latin jazz,,latin,
latin pop,,latin,
latin pop,tropipop,,
latin rock,,latin,
latin soul,,latin,
lauda,,,
lavani,,,
lento violento,,euro-trance,
lento violento,,hardcore techno,
lento violento,,hardstyle,
lento violento,,italo dance,
levenslied,,schlager,
lied,,romantic classical,
liquid funk,,atmospheric drum and bass,
liquid funk,,jazzstep,
liquid funk,sambass,,
liquid riddim,,downtempo,
liquid riddim,,lo-fi hip hop,
liscio,,,
livetronica,,electronic,
liwa,,,
lo-fi hip hop,,downtempo,
lo-fi house,,deep house,
loud kei,,deathcore,
loud kei,,metalcore,
loud kei,,nu metal,
lounge,,jazz,
lowend,,bounce,
luk krung,,,
lullaby,batonebi songs,,
madchester,,funk,
madchester,,jangle pop,
maddahi,shoor,,
maftirim,,,
mahraganat,,edm,
mahraganat,,hip hop,
makina,,ebm,
makina,,new beat,
makossa,,highlife,
makossa,,jazz,
makossa,,rumba cubana,
makossa,,soukous,
malagueña venezolana,,,
mallsoft,,easy listening,
mallsoft,,smooth jazz,
maloya,,séga,
maloya,maloya élektrik,,
maloya,maloya électronique,,
maloya électronique,,edm,
maloya élektrik,,afrobeat,
maloya élektrik,,funk,
maloya élektrik,,psychedelic,
mambo,,danzón,
mambo chileno,,mambo,
mambo chileno,,mambo urbano,
mambo chileno,,reggaeton,
mambo chileno,,trap,
mambo urbano,,hip hop,
mambo urbano,,reggaeton,
mandopop,,shidaiqu,
manele,,dance-pop,
mangambeu,,,
mangue beat,,alternative rock,
mangue beat,,ciranda,
mangue beat,,coco,
mangue beat,,funk rock,
mangue beat,,hip hop,
mangue beat,,maracatu,
manila sound,,disco,
manila sound,,funk,
manila sound,,kundiman,
manila sound,,soft rock,
mantra,tibetan buddhist chant,,
manyao,,eurodance,
manyao,,house,
manyao,,mandopop,
manyao,,trance,
mappila,,,
marabi,mbaqanga,,
march,circus march,,
march,funeral march,,
march,música festera,,
marching band,,western classical,
marching band,pep band,,
marching band,drumline,,
marching band,fife and drum,,
marching band,drum and bugle corps,,
marching band,guggenmusik,,
marching band,beni,,
marinera,,zamacueca,
marrabenta,,,
martial industrial,,dark ambient,
martial industrial,,neoclassical dark wave,
martial industrial,,neofolk,
mashcore,,hardcore techno,
maskanda,,,
mass,requiem,,
mataali,,,
math pop,,indie pop,
math pop,,indie rock,
math pop,,midwest emo,
math rock,,noise rock,
math rock,,post-hardcore,
math rock,math pop,,
mathcore,,math rock,
maxixe,,lundu,
maxixe,,tango,
mazurka,,,
mbalax,,,
mbaqanga,,kwela,
mbaqanga,,swing,
mbolé,,bend-skin,
mbolé,,bikutsi,
mbolé,,makossa,
mchiriku,,ngoma,
medieval,ars antiqua,,
medieval,ars nova,,
medieval,ars subtilior,,
medieval,plainchant,,
medieval,medieval lyric poetry,,
medieval lyric poetry,minnesang,,
medieval lyric poetry,troubadour song,,
medieval metal,,neo-medieval folk,
medieval rock,,hard rock,
medieval rock,,neo-medieval folk,
mega funk,,brazilian bass,
mega funk,,slap house,
melbourne bounce,,dutch house,
melbourne bounce,,minimal techno,
melbourne bounce,,tech house,
melodic bass,,future bass,
melodic bass,,melodic dubstep,
melodic death metal,,heavy metal,
melodic house,,deep house,
melodic house,,melodic techno,
melodic house,,progressive house,
melodic metalcore,,melodic death metal,
melodic techno,,minimal techno,
melodic techno,,trance,
melodic trance,,dream trance,
melodic trance,,hard trance,
melodic trance,,progressive trance,
memphis rap,,electro,
memphis rap,dungeon rap,,
menzuma,,,
merecumbé,,,cumbia
merecumbé,,,merengue
merengue,merenhouse,,
merengue,mambo urbano,,
merengue,merengue típico,,
merengue,tecnomerengue,,
merenhouse,,dancehall,
merenhouse,,hip hop,
merenhouse,,house,
merequetengue,,,
metal,avant-garde metal,,
metal,alternative metal,,
metal,black metal,,
metal,christian metal,,
metal,drone metal,,
metal,doom metal,,
metal,death metal,,
metal,folk metal,,
metal,groove metal,,
metal,gothic metal,,
metal,heavy metal,,
metal,kawaii metal,,
metal,,blues rock,
metal,neoclassical metal,,
metal,progressive metal,,
metal,power metal,,
metal,post-metal,,
metal,pop metal,,
metal,symphonic metal,,
metal,stoner metal,,
metal,southern metal,,
metal,sludge metal,,
metal,thrash metal,,
metal,trance metal,,
metal,viking metal,,
metalcore,,,hardcore punk
metalcore,,,metal
metalcore,melodic metalcore,,
metalcore,mathcore,,
metalcore,downtempo deathcore,,
metalcore,thall,,
metalcore,progressive metalcore,,
meyxana,,,
mgodro,,salegy,
miami bass,,electro,
miami bass,techno bass,,
microfunk,,idm,
microhouse,,glitch,
microhouse,,idm,
microhouse,,minimal techno,
midtempo bass,,electro house,
midtempo bass,,post-industrial,
midtempo bass,,tech house,
midwest emo,,indie rock,
midwest emo,,post-hardcore,
miejski folk,,folk,
miejski folk,,punk,
min'yō,,,
minatory,,dark ambient,
minatory,,deathstep,
minimal drum and bass,microfunk,,
minimal drum and bass,autonomic,,
minimal synth,,synth-pop,
minimal techno,dub techno,,
minimal techno,,detroit techno,
minimal wave,minimal synth,,
minimalism,,hindustani classical,
minimalism,holy minimalism,,
minneapolis sound,,contemporary r&b,
minneapolis sound,,disco,
minnesang,,troubadour song,
mobb music,,funk,
mod,mod revival,,
mod,,beat music,
mod,,british rhythm & blues,
mod,,jazz,
mod,,r&b,
mod revival,,punk rock,
modal jazz,jazz mugham,,
modern classical,minimalism,,
modern classical,post-minimalism,,
modern classical,serialism,,
modern classical,spectralism,,
modern classical,indeterminacy,,
modern classical,futurism,,
modern classical,stochastic music,,
modern classical,sonorism,,
modern classical,totalism,,
modern classical,new complexity,,
modern classical,musique concrète instrumentale,,
modern classical,microtonal classical,,
modern classical,expressionism,,
modern classical,process music,,
modern classical,neoromanticism,,
modern creative,,free improvisation,
modern creative,,free jazz,
modern creative,,modern classical,
modern hardtek,,free tekno,
modern hardtek,,uk hardcore,
modern hardtek,raggatek,,
modern hardtek,pumpcore,,
modern laiko,,dance-pop,
modern laiko,,pop,
modinha,,opera,
mood kayō,,jazz,
moombahcore,,brostep,
moombahcore,,complextro,
moombahton,,dutch house,
moombahton,,reggaeton,
mor lam,mor lam sing,,
mor lam sing,,luk thung,
morenada,,,
moroccan chaabi,,,
motown,,gospel,
moutya,,,
movimiento alterado,,banda sinaloense,
mpb,,bossa nova,
mpb,,samba-canção,
muak,,,
mugithi,,benga,
mugithi,,country,
muiñeira,,,
mulatós,,folk,
muliza,,,
murga,murga uruguaya,,
musette,,,
musical,cabaret,,
musical,rock musical,,
musical,industrial musical,,
musical,music hall,,
musical,murga,,
musical,vaudeville,,
musical,minstrelsy,,
musical,revue,,
musical,chèo,,
musique concrète,,noise,
muzika mizrahit,muzikat dika'on,,
muzika yehudit mekorit,,,
muziki wa dansi,,jazz,
muziki wa dansi,,soukous,
métis fiddling,,,
música criolla,festejo,,
música criolla,landó,,
música criolla,marinera,,
música criolla,polca criolla,,
música criolla,vals criollo,,
música de intervenção,,chanson française,
música de intervenção,,fado,
música llanera,,,
música típica chilena,,,
mūsīqā lubnāniyya,,,
narodnozabavna glasba,,,
nashville sound,,pop,
nature sounds,animal sounds,,
nature sounds,rain sounds,,
neo kyma,,chanson française,
neo rave,,hard techno,
neo rave,,hardstyle,
neo soul,,contemporary r&b,
neo soul,,hip hop,
neo-acoustic,,folk rock,
neo-acoustic,,indie pop,
neo-acoustic,,jangle pop,
neo-acoustic,,new wave,
neo-acoustic,,post-punk,
neo-bop,,modal jazz,
neo-grime,,grime,
neo-progressive rock,,symphonic prog,
neo-psychedelia,paisley underground,,
neo-psychedelia,psichedelia occulta italiana,,
neo-traditional country,,honky tonk,
neo-traditional country,,pop rock,
neoclassical dark wave,,western classical,
neoclassical metal,,western classical,
neoclassical metal,,heavy metal,
neoclassical new age,,baroque,
neoclassical new age,,western classical,
neocrust,,black metal,
neocrust,,post-metal,
neocrust,,screamo,
neocrust,,sludge metal,
neofolk,dark folk,,
neofolk,,post-industrial,
neon pop punk,,electronic,
neoromanticism,,expressionism,
neoromanticism,,impressionism,
neoromanticism,,romantic classical,
nerdcore techno,,breakbeat,
nerdcore techno,,jungle,
nerdcore techno,,techno,
neue deutsche härte,,edm,
neue deutsche härte,,industrial metal,
neue deutsche todeskunst,,dark ambient,
neue deutsche todeskunst,,gothic rock,
neue deutsche todeskunst,,industrial,
neue deutsche welle,,electropunk,
neue deutsche welle,,industrial,
neue deutsche welle,,post-punk,
neue deutsche welle,,punk rock,
neue deutsche welle,,synth-pop,
neurofunk,,techstep,
neurohop,,neurofunk,
new age,celtic new age,,
new age,neoclassical new age,,
new age,native american new age,,
new age,andean new age,,
new beat,,dark wave,
new beat,hard beat,,
new beat,skizzo,,
new jack swing,,funk,
new jack swing,,hip hop,
new mexico music,,country,
new orleans blues,,jazz,
new rave,,dance-punk,
new rave,,indie rock,
new romantic,,glam rock,
new romantic,,synth-pop,
new wave,,electronic,
new wave,,pop rock,
new wave,,punk rock,
new wave,new romantic,,
new wave,neue deutsche welle,,
new york drill,,uk drill,
